nohup: ignoring input
Importing module 'gym_37' (/home/achard/isaacgym/python/isaacgym/_bindings/linux-x86_64/gym_37.so)
Setting GYM_USD_PLUG_INFO_PATH to /home/achard/isaacgym/python/isaacgym/_bindings/linux-x86_64/usd/plugInfo.json
PyTorch version 1.8.1
Device count 2
/home/achard/isaacgym/python/isaacgym/_bindings/src/gymtorch
Using /home/achard/.cache/torch_extensions as PyTorch extensions root...
Emitting ninja build file /home/achard/.cache/torch_extensions/gymtorch/build.ninja...
Building extension module gymtorch...
Allowing ninja to set a default number of workers... (overridable by setting the environment variable MAX_JOBS=N)
ninja: no work to do.
Loading extension module gymtorch...
Not connected to PVD
+++ Using GPU PhysX
Physics Engine: PhysX
Physics Device: cuda:0
GPU Pipeline: enabled
self.num_dof 18
Creating 300 environments.
velocity 1.0
effort 10000000000.0
stiffness 1.3
damping 0.1
mini_chunk_size:  136
rollout_size:  2176
loaded from:  /home/achard/isaacgym/python/isaacGymEnvs/isaacgymenvs/minimal-isaacgym/fly_bProject/save7_1_23/save1_standing_18dofs_.pth
Steps: 16900 | Opt Step: 0525 | Reward 0.4793 | Action Var 0.0310
Steps: 17000 | Opt Step: 0525 | Reward 0.5530 | Action Var 0.0300
Steps: 17100 | Opt Step: 0525 | Reward 0.4554 | Action Var 0.0290
Steps: 17200 | Opt Step: 0525 | Reward 0.4817 | Action Var 0.0280
Steps: 17300 | Opt Step: 0525 | Reward 0.5015 | Action Var 0.0270
Steps: 17400 | Opt Step: 0525 | Reward 0.4587 | Action Var 0.0260
Training
saving...
saved!
Steps: 17500 | Opt Step: 0600 | Reward 0.4636 | Action Var 0.0250
Steps: 17600 | Opt Step: 0600 | Reward 0.5328 | Action Var 0.0240
Steps: 17700 | Opt Step: 0600 | Reward 0.4793 | Action Var 0.0230
Steps: 17800 | Opt Step: 0600 | Reward 0.3755 | Action Var 0.0220
Steps: 17900 | Opt Step: 0600 | Reward 0.4567 | Action Var 0.0210
Steps: 18000 | Opt Step: 0600 | Reward 0.4357 | Action Var 0.0200
Steps: 18100 | Opt Step: 0600 | Reward 0.4468 | Action Var 0.0190
Steps: 18200 | Opt Step: 0600 | Reward 0.4196 | Action Var 0.0180
Steps: 18300 | Opt Step: 0600 | Reward 0.4102 | Action Var 0.0170
Steps: 18400 | Opt Step: 0600 | Reward 0.4265 | Action Var 0.0160
Steps: 18500 | Opt Step: 0600 | Reward 0.4181 | Action Var 0.0150
Steps: 18600 | Opt Step: 0600 | Reward 0.3913 | Action Var 0.0140
Steps: 18700 | Opt Step: 0600 | Reward 0.4410 | Action Var 0.0130
Steps: 18800 | Opt Step: 0600 | Reward 0.3449 | Action Var 0.0120
Steps: 18900 | Opt Step: 0600 | Reward 0.3862 | Action Var 0.0110
Steps: 19000 | Opt Step: 0600 | Reward 0.3668 | Action Var 0.0100
Steps: 19100 | Opt Step: 0600 | Reward 0.3713 | Action Var 0.0100
Steps: 19200 | Opt Step: 0600 | Reward 0.3992 | Action Var 0.0100
Steps: 19300 | Opt Step: 0600 | Reward 0.3226 | Action Var 0.0100
Steps: 19400 | Opt Step: 0600 | Reward 0.3785 | Action Var 0.0100
Steps: 19500 | Opt Step: 0600 | Reward 0.4013 | Action Var 0.0100
Training
Steps: 19600 | Opt Step: 0675 | Reward 0.4126 | Action Var 0.0100
Steps: 19700 | Opt Step: 0675 | Reward 0.6315 | Action Var 0.0100
Steps: 19800 | Opt Step: 0675 | Reward 0.6838 | Action Var 0.0100
Steps: 19900 | Opt Step: 0675 | Reward 0.5519 | Action Var 0.0100
Steps: 20000 | Opt Step: 0675 | Reward 0.6125 | Action Var 0.0100
Steps: 20100 | Opt Step: 0675 | Reward 0.6162 | Action Var 0.0100
Steps: 20200 | Opt Step: 0675 | Reward 0.5747 | Action Var 0.0100
Steps: 20300 | Opt Step: 0675 | Reward 0.6207 | Action Var 0.0100
Steps: 20400 | Opt Step: 0675 | Reward 0.6199 | Action Var 0.0100
Steps: 20500 | Opt Step: 0675 | Reward 0.5100 | Action Var 0.0100
Steps: 20600 | Opt Step: 0675 | Reward 0.5821 | Action Var 0.0100
Steps: 20700 | Opt Step: 0675 | Reward 0.5495 | Action Var 0.0100
Steps: 20800 | Opt Step: 0675 | Reward 0.5934 | Action Var 0.0100
Steps: 20900 | Opt Step: 0675 | Reward 0.6753 | Action Var 0.0100
Steps: 21000 | Opt Step: 0675 | Reward 0.6013 | Action Var 0.0100
Steps: 21100 | Opt Step: 0675 | Reward 0.5719 | Action Var 0.0100
Steps: 21200 | Opt Step: 0675 | Reward 0.5722 | Action Var 0.0100
